beneficiaria_id;beneficiaria_nome;id;secretaria_id;secretaria_sigla;valor_recurso;valor_repasse;ano_recurso;beneficiaria_nome_norm;match_name;match_cnpj;match_type;score;cd_natureza_juridica;natureza_juridica_desc
497;UACEP - UNIÃO DE AMPARO À COMUNIDADE DE ESCOLAS PUBLICAS;2078;30;SEMULHER;450000,0;36139,75;2022;UACEP - UNIAO DE AMPARO A COMUNIDADE DE ESCOLAS PUBLICAS;UNIAO DE AMPARO A COMUNIDADE DE ESCOLAS PUBLICAS ( MINHA COMUNIDADE) - UACEP;9121581000194,0;Fuzzy;0,7272727272727273;3999,0;Associacao Privada
5;ASILO DE INVÁLIDOS DE SANTOS;2080;19;SEDS;626764,32;52230,36;2022;ASILO DE INVALIDOS DE SANTOS;ASILO DE INVALIDOS DE SANTOS;58219551000201,0;Exact;1,0;3999,0;Associacao Privada
57;APM DA UME MARTINS FONTES ;2086;12;SEDUC;13680,0;2280,0;2022;APM DA UME MARTINS FONTES;ACADEMIA SANTISTA DE LETRAS;48678387000166,0;Fuzzy;0,8085106382978723;3999,0;Associacao Privada
475;VIDAS RECICLADAS;2098;19;SEDS;695947,19;57995,6;2022;VIDAS RECICLADAS;VIDAS RECICLADAS;8706506000718,0;Exact;1,0;3999,0;Associacao Privada
205;FUNDAÇÃO DO ABC;2102;13;SMS;10907022,84;0,0;2022;FUNDACAO DO ABC;FUNDACAO OASIS;1030958002050,0;Fuzzy;0,7586206896551724;3069,0;Fundacao Privada
186;CECAJAS - CENTRO DE CAPACITAÇÃO DE JOVENS E ADULTOS DE SANTOS;2105;12;SEDUC;684860,78;163062,09;2022;CECAJAS - CENTRO DE CAPACITACAO DE JOVENS E ADULTOS DE SANTOS;CENTRO DE CAPACITACAO DE JOVENS E ADULTOS DE SANTOS - CECAJAS;9199368000286,0;Fuzzy;0,8360655737704918;3999,0;Associacao Privada
205;FUNDAÇÃO DO ABC;2112;13;SMS;23158095,69;0,0;2022;FUNDACAO DO ABC;FUNDACAO OASIS;1030958002050,0;Fuzzy;0,7586206896551724;3069,0;Fundacao Privada
202;EDUCANDÁRIO ANÁLIA FRANCO;2119;19;SEDS;405969,18;18496,99;2022;EDUCANDARIO ANALIA FRANCO;EDUCANDARIO ANALIA FRANCO;58225905000220,0;Exact;1,0;3999,0;Associacao Privada
117;APAEA - ASSOCIAÇÃO DE PAIS AMIGOS E EDUCADORES DE AUTISTAS;2125;12;SEDUC;1341122,4;323946,48;2022;APAEA - ASSOCIACAO DE PAIS AMIGOS E EDUCADORES DE AUTISTAS;ASSOCIACAO DE PAIS AMIGOS E EDUCADORES DE AUTISTAS;55674782000136,0;Substring;0,8620689655172413;3999,0;Associacao Privada
528;INSTITUTO ARTE NO DIQUE;2128;24;SEMAM;631135,0;195415,0;2022;INSTITUTO ARTE NO DIQUE;INSTITUTO ARTE NO DIQUE;7269609000290,0;Exact;1,0;3999,0;Associacao Privada
