cnpj;ano;url_principal;propria_servico;propria_doacao_mensalidade;privada_doacao_parceria;privada_doacao_even;publica_parceria;internacional_privada;internacional_publica
58.198.128/0001-91;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/56202/RelatorioCircunstanciado.html;0,28%;4,75%;5,67%;3,00%;86,30%;%;0,00%
58.228.453/0001-50;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/58477/RelatorioCircunstanciado.html;%;60,00%;%;%;40,00%;0,00%;%
64.042.740/0001-73;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/58915/RelatorioCircunstanciado.html;0,00%;0,00%;0,00%;%;0,00%;%;0,00%
71.545.636/0001-67;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/113169/RelatorioCircunstanciado.html;0,00%;22,83%;0,80%;8,89%;67,48%;0,00%;0,00%
46.798.492/0001-03;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/61877/RelatorioCircunstanciado.html;%;92,00%;0,00%;8,00%;%;%;%
58.250.267/0001-17;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/62458/RelatorioCircunstanciado.html;26,65%;7,23%;%;8,65%;57,47%;%;%
52.246.451/0001-07;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/62947/RelatorioCircunstanciado.html;71,00%;7,00%;0,00%;0,00%;22,00%;0,00%;0,00%
58.194.622/0001-88;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/63190/RelatorioCircunstanciado.html;99,26%;0,48%;0,24%;0,02%;0,00%;0,00%;%
58.198.524/0001-19;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/63581/RelatorioCircunstanciado.html;98,50%;%;0,90%;%;0,60%;%;%
58.222.878/0001-51;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/65053/RelatorioCircunstanciado.html;%;76,19%;0,84%;0,00%;22,97%;0,00%;%
58.252.602/0001-16;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/65867/RelatorioCircunstanciado.html;40,00%;60,00%;%;%;%;%;%
71.545.636/0001-67;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/66369/RelatorioCircunstanciado.html;0,00%;26,81%;46,47%;26,72%;0,00%;0,00%;0,00%
58.253.667/0001-86;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/68239/RelatorioCircunstanciado.html;95,00%;0,30%;4,70%;%;%;%;%
58.225.905/0001-40;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/69278/RelatorioCircunstanciado.html;45,89%;30,46%;%;%;23,65%;%;%
58.263.898/0001-70;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/70307/RelatorioCircunstanciado.html;0,00%;54,40%;%;%;45,60%;%;%
58.222.910/0001-07;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/74915/RelatorioCircunstanciado.html;%;34,46%;0,17%;%;65,37%;%;%
58.225.905/0001-40;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/75504/RelatorioCircunstanciado.html;45,89%;30,46%;%;%;23,65%;%;%
58.218.215/0001-63;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/75812/RelatorioCircunstanciado.html;55,26%;1,35%;0,00%;2,91%;40,48%;0,00%;0,00%
58.198.128/0001-91;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/75961/RelatorioCircunstanciado.html;0,20%;4,29%;5,88%;5,90%;83,73%;%;0,00%
58.413.451/0001-30;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/76116/RelatorioCircunstanciado.html;%;%;100,00%;%;%;%;%
58.191.008/0001-62;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/77458/RelatorioCircunstanciado.html;99,00%;%;1,00%;%;%;%;%
58.167.032/0001-66;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/78086/RelatorioCircunstanciado.html;%;23,00%;0,00%;0,00%;77,00%;%;%
58.219.551/0001-20;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/79547/RelatorioCircunstanciado.html;0,00%;7,00%;0,00%;82,00%;11,00%;0,00%;0,00%
58.222.910/0001-07;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/80148/RelatorioCircunstanciado.html;%;6,00%;12,00%;34,00%;48,00%;%;%
58.222.910/0001-07;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/80149/RelatorioCircunstanciado.html;%;6,00%;12,00%;34,00%;48,00%;%;%
58.222.910/0001-07;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/80151/RelatorioCircunstanciado.html;%;34,46%;0,17%;0,00%;65,37%;0,00%;%
51.642.288/0001-39;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/114750/RelatorioCircunstanciado.html;0,00%;20,00%;0,00%;%;80,00%;%;0,00%
55.674.782/0001-36;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/82633/RelatorioCircunstanciado.html;0,00%;15,50%;%;4,41%;80,09%;0,00%;%
64.042.740/0001-73;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/84168/RelatorioCircunstanciado.html;0,00%;0,00%;0,00%;%;0,00%;%;0,00%
58.251.711/0001-19;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/84201/RelatorioCircunstanciado.html;%;%;%;%;%;%;%
58.250.267/0001-17;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/85561/RelatorioCircunstanciado.html;26,17%;9,18%;%;8,28%;56,37%;%;%
52.246.451/0001-07;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/85878/RelatorioCircunstanciado.html;59,00%;7,00%;0,00%;11,00%;23,00%;0,00%;0,00%
58.269.515/0001-71;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/86764/RelatorioCircunstanciado.html;3,30%;3,30%;9,20%;1,20%;83,00%;0,00%;0,00%
58.198.524/0001-19;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/115268/RelatorioCircunstanciado.html;96,90%;%;1,40%;%;1,70%;%;%
11.043.826/0001-54;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/88089/RelatorioCircunstanciado.html;0,00%;100,00%;0,00%;%;%;%;%
51.642.288/0001-39;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/88270/RelatorioCircunstanciado.html;0,00%;20,00%;0,00%;%;80,00%;%;0,00%
11.043.826/0001-54;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/115556/RelatorioCircunstanciado.html;0,00%;100,00%;0,00%;%;%;%;%
58.413.451/0001-30;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/91707/RelatorioCircunstanciado.html;%;%;%;%;%;%;%
