cnpj;tx_razao_social_osc;tx_nome_fantasia_osc;cd_natureza_juridica_osc;dt_fundacao_osc;situacao_cadastral;tx_endereco_completo;cd_municipio;municipio_nome;UF_Sigla;longitude;latitude;cnae;Area_Assistencia_social;Area_Associacoes_patronais_e_profissionais;Area_Cultura_e_recreacao;Area_Desenvolvimento_e_defesa_de_direitos_e_interesses;Area_Educacao_e_pesquisa;Area_Outras_atividades_associativas;Area_Religiao;Area_Saude;SubArea_Assistencia_social;SubArea_Associacoes_de_atividades_nao_especificadas_anteriormente;SubArea_Associacoes_de_produtores_rurais_pescadores_e_similares;SubArea_Associacoes_empresariais_e_patronais;SubArea_Associacoes_profissionais;SubArea_Atividades_de_apoio_a_educacao;SubArea_Cultura_e_arte;SubArea_Desenvolvimento_e_defesa_de_direitos;SubArea_Educacao_infantil;SubArea_Educacao_profissional;SubArea_Ensino_fundamental;SubArea_Ensino_superior;SubArea_Esportes_e_recreacao;SubArea_Estudos_e_pesquisas;SubArea_Hospitais;SubArea_Outras_formas_de_educacao_ensino;SubArea_Outros_servicos_de_saude;SubArea_Religiao
11521682000102;NOVA DIMENSAO - ORGANIZACAO DE APOIO SOCIAL, EDUCATIVO E CULTURAL AS PESSOAS COM NECESSIDADES ESPECIAIS E MINORIAS EXCLUIDAS DOS SISTEMAS COMUNS;NOVA DIMENSAO;3999;2010-01-27;Ativa;RUA LIBERDADE491, APARECIDA, Santos, SP, 11025175;3548500.0;SANTOS;SP;-46,3196794249996;-23,9605828119996;94308;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
64718349000146;SPORT TAEKWONDO CLUBE;;3999;1991-03-21;Inapta;AVENIDA BARTOLOMEU DE GUSMAO49, 106, BOQUEIRAO, Santos, SP, 11045400;3548500.0;SANTOS;SP;-46,3229730339996;-23,9732637339996;93123;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
4241216000108;INSTITUTO ELOS BRASIL;;3999;2000-12-22;Ativa;RUA MARECHAL HERMES37, BOQUEIRAO, Santos, SP, 11025040;3548500.0;SANTOS;SP;-46,3206962029996;-23,9596480489996;94308;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14433245000117;ASSOCIACAO EDUCACIONAL INFANTIL E FUNDAMENTAL EVOLUIR;ESCOLA EVOLUIR;3999;2011-08-26;Ativa;AVENIDA SENADOR PINHEIRO MACHADO845,       NAO HA, CAMPO GRANDE, Santos, SP, 11075003;3548500.0;SANTOS;SP;-46,3361977249996;-23,9518486859996;85121;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14693773000105;PROJETO SOCIAL CIPO ARTES, ARTES MARCIAIS;PSC;3999;2011-08-23;Ativa;"RUA VERGUEIRO STEIDEL365, : AP 302;, APARECIDA, Santos, SP, 11040271";3548500.0;SANTOS;SP;-46,3099960819996;-23,9763932559996;93191;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
818557000134;APAS - ASSOCIACAO PARCEIRA DE ASSISTENCIA A SAUDE;APAS;3999;1995-09-21;Ativa;AVENIDA ANA COSTA61, TERREOTERREO, VILA MATHIAS, Santos, SP, 11060001;3548500.0;SANTOS;SP;-46,3308607569996;-23,9511287699996;94308;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58252602000116;ASSOCIACAO DOS CIRURGIOES DENTISTAS DA BAIXADA SANTISTA - REGIONAL APCD;;3999;1970-05-25;Ativa;AVENIDA MARECHAL DEODORO71, GONZAGA, Santos, SP, 11060401;3548500.0;SANTOS;SP;-46,3363787989996;-23,9635037709996;94308;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58259771002040;MITRA DIOCESANA DE SANTOS;PAROQUIA DE NOSSA SENHORA APARECIDA;3220;1970-12-15;Ativa;AVENIDA AFONSO PENA614, APARECIDA, Santos, SP, 11020002;3548500.0;SANTOS;SP;-46,3024887279996;-23,9719732599996;94910;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
57734527000167;LAR INFANTIL SANTA RITA DE CASSIA;;3999;1988-12-05;Ativa;RUA OSWALDO CRUZ266, BOQUEIRAO, Santos, SP, 11045907;3548500.0;SANTOS;SP;-46,3208180989996;-23,9622680649996;87115;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58232026000145;CASA DA MADEIRA;;3999;1978-01-01;Ativa;RUA JULIO CONCEICAO169, VILA MATHIAS, Santos, SP, 11015540;3548500.0;SANTOS;SP;-46,3289086749996;-23,9454227859996;94936;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
