match_name;match_cnpj;natureza_juridica_desc;valor_repasse
PROJETO PRIMEIROS PASSOS;31599638000114,0;Associacao Privada;25000,0
CENTRO DE DIREITOS HUMANOS DA BAIXADA SANTISTA IRMA MARIA DOLORES;11438416000102,0;Associacao Privada;24614,94
SOCIEDADE MELHORAMENTOS DO BAIRRO DO CAMPO GRANDE;44287233000192,0;Associacao Privada;24142,559999999998
CENTRO COMUNITARIO CASTELO BRANCO;46198347000191,0;Associacao Privada;23400,0
INSTITUTO ALBATROZ;5661298000102,0;Associacao Privada;20500,0
ONGSEM FRONTEIRA;13944446000116,0;Fundacao Privada;20000,0
INSTITUTO QUERO;10227433000138,0;Associacao Privada;20000,0
ASSOCIACAO DOS ADVOGADOS TRABALHISTAS DE SANTOS-AATS;68013705000187,0;Associacao Privada;20000,0
MOVIMENTO DE ARREGIMENTACAO FEMININA;49946676000161,0;Associacao Privada;20000,0
COMPOSTA&CULTIVA;47293019000137,0;Associacao Privada;20000,0
ASSOCIACAO MISSIONARIA RESGATANDO VIDAS - A ULTIMA COLHEITA;16808077000394,0;Associacao Privada;19999,76
CENTRO AMBIENTAL DE ESTUDOS E TURISMO ECOLOGICO DA MATA ATLANTICA;16933300000163,0;Associacao Privada;19997,17
CENTRO FRATERNO DE AMIZADE;51650968000102,0;Associacao Privada;19906,62
ASSOCIACAO CULTURAL GRUPO RAIZES DE VILA NOVA;15572039000150,0;Associacao Privada;15000,0
ASSOCIACAO VILA DO TEATRO;21368579000110,0;Associacao Privada;14940,0
INSTITUTO PROCOMUM;26075636000277,0;Associacao Privada;11000,0
SOCIEDADE DE MELHORAMENTOS DO MORRO DE SAO BENTO;58260712000120,0;Associacao Privada;10901,22
ASSOCIACAO DOS ARTISTAS;3890545000109,0;Associacao Privada;10855,0
ORDEM FRANCISCANA SECULAR - VALONGO;58258377000125,0;Fundacao Privada;10800,0
LIGA METROPOLITANA DE GINASTICA;15377356000116,0;Associacao Privada;8968,0
ASSOCIACAO DOS MORADORES DA VILA PANTANAL;3051948000164,0;Associacao Privada;4267,45
SOCIEDADE DE MELHORAMENTOS DA VILA PROGRESSO;51068831000136,0;Associacao Privada;0,0
ASSOCIACAO BEM ESTAR NA COMUNIDADE, ABEC;54956090000118,0;Associacao Privada;0,0
TOCA DE ASSIS IRMAS;34084109000508,0;Associacao Privada;0,0
CENTRO COMUNITARIO DO MACUCO;51214307000126,0;Associacao Privada;0,0
ASSOCIACAO UNIAO DO BEM;55483282000117,0;Associacao Privada;0,0
ASSOCIACAO EDUARDO FURKINI;14934407000109,0;Associacao Privada;0,0
CASA DE CULTO AFRO BRASILEIRO ILE ASE SOBO OBA ARIRA;5982828000106,0;Associacao Privada;0,0
INSTITUTO PEQUENO LUCA;44060158000122,0;Associacao Privada;0,0
ASSOCIACAO DE MORADORES DA RUA JOAO CARLOS DA SILVA E ADJACENCIAS DO BAIRRO SAO MANOEL, SANTOS-SP;39523106000105,0;Associacao Privada;0,0
INSTITUTO MENSAGEIROS DA VERDADE MACUCO;41139803000109,0;Associacao Privada;0,0
ASSOCIACAO DESPORTIVA JUNTOS DENTRO E FORA D'AGUA;34281229000163,0;Associacao Privada;0,0
ASSOCIACAO DOS AMIGOS DO CORAL CEU DA BOCA - AACCB;30984874000191,0;Associacao Privada;0,0
